Seção,Descrição
Perfil Profissional,"Profissional de Data Science e Desenvolvimento Full Stack com ampla experiência em análise de dados, inteligência artificial e desenvolvimento de soluções tecnológicas. Especializado em automações inteligentes, construção de dashboards, integração de sistemas e uso de LLMs (Large Language Models) como DeepSeek, Anthropic, Lhama, Gemini, Perplexity, Grock e ChatGPT em projetos com frameworks como CrewAI, LangChain e phidata. Possui habilidades sólidas em Python, ETL, machine learning, administração de banco de dados e desenvolvimento de APIs. Capaz de liderar projetos multidisciplinares com visão empreendedora e adaptabilidade às demandas do mercado moderno."
Educação,"Superior de Tecnologia em Data Science – UNINASSAU (jan de 2022 – jul de 2023)\n- Projeto Acadêmico: Coleta e análise de dados sobre aposentados no Brasil e o IDEB (Índice de Desenvolvimento da Educação Básica).\n- Técnicas utilizadas: ETL, análises estatísticas, dashboards em Power BI.\n- Conclusão: Insights sobre correlações entre dados sociais e educacionais."
Educação,"Engenharia Civil – Católica de Pernambuco (incompleto, 7º período)\n- Disciplinas relevantes: Cálculo, Física, Gestão de Projetos."
Educação,"Inglês básico"
Educação,"Curso Estatística para Ciência de Dados e Machine Learning – Udemy (jan de 2023 – jul de 2023)\n- Tópicos explorados: ANOVA, Qui Quadrado, testes de hipóteses, Naïve Bayes, z-score, tratamento de dados enviesados, inicialização de pesos em redes neurais, previsão de preços com regressão linear e criação de gráficos e mapas."
Educação,"Outros Cursos (Alura):\n- Scrum, MLOps, Git, GitHub, Flask, JSON, Amazon Web Services"
Educação,"Udemy Alumni: Desenvolvimento Sustentável, Inteligência de Negócios (BI), Empreendedorismo, Planejamento Estratégico."
Experiência Profissional,"Diretor – Edificarte Construtora e Incorporadora Ltda\n- Responsável pela gestão estratégica e operacional da empresa, incluindo planejamento de projetos, gestão de equipes e supervisão de obras.\n- Implementação de processos de automação e integração de sistemas para melhorar a eficiência operacional."
Experiência Profissional,"Desenvolvedor Full Stack – Katamulta Soluções Tecnológicas LTDA\n- Desenvolvimento de uma plataforma completa para monitorar e preparar defesas para multas de trânsito.\n- Funcionalidades:\n  - Frontend: Site intuitivo para cadastro de usuários, seleção de planos e pagamento seguro via CheckoutPro do MercadoPago.\n  - Backend: Automação de processos, incluindo webscraping no Detran para identificar multas elegíveis para defesa (radares e dentro do prazo legal) e no site do IMETRO para verificar conformidade com a legislação.\n  - Modalidades de contratação:\n    - Defesa Online: Busca e defesa imediata após o pagamento, com tentativas de acesso a cada hora em caso de indisponibilidade dos sites.\n    - Monitoramento: Busca e defesa periódica de acordo com o plano contratado.\n  - Geração automática de defesas com base nos dados coletados, preenchimento de formulários e envio por e-mail.\n- Benefícios:\n  - Solução completa e eficiente para gestão de multas de trânsito.\n  - Redução de tempo e esforço para os usuários.\n  - Garantia de defesas rápidas e precisas.\n- Tecnologias utilizadas: Python, Flask, HTML, CSS, JavaScript, APIs do MercadoPago, webscraping (Detran, IMETRO).\n- Visite o site: www.katamulta.com.br"
Experiência Profissional,"Data Scientist (Autônomo) – Diversas Empresas\n- Desenvolvimento de projetos de análise de dados, machine learning e visualização de dados para clientes como Limongi/Claro S/A e PHR.\n- Projeto de integração com ERP SAS da Usina de Obras Ltda, otimizando fluxos e relatórios gerenciais."
Experiência Profissional,"Desenvolvedor de MVP – CuidaAI\n- Plataforma que envia mensagens para cuidadores de idosos e realiza a leitura de aferições como tensiômetro, oxímetro e termômetro.\n- Funcionalidades:\n  - Análise do humor (estado emocional) pela foto usando DeepFace.\n  - Análise de alimentos, peso, calorias e macronutrientes.\n  - Armazenamento dos dados em um banco de dados e disponibilização de um dashboard para médicos, combinando todas as informações coletadas.\n- Benefícios:\n  - Monitoramento contínuo da saúde e bem-estar dos idosos.\n  - Facilidade para cuidadores e médicos acompanharem os dados em tempo real.\n  - Análise emocional e nutricional integrada para um cuidado mais completo.\n- Tecnologias utilizadas: Python, Streamlit, DeepFace, APIs de análise de alimentos, banco de dados SQL,CrewAI .\n- Status: MVP em fase de validação."
Experiência Profissional,"Projeto de Integração com ERP SAS – Usina de Obras Ltda\n- Desenvolvimento de uma solução para otimizar fluxos e relatórios gerenciais.\n- Funcionalidades:\n  - Integração de dados entre sistemas internos e o ERP SAS.\n  - Automação de relatórios gerenciais para melhorar a tomada de decisões.\n Leitura e comparação de documentos físicos com dados do CRM, realizando alterações necessárias de forma automatizada \n -Disponibilização de análises em uma plataforma web para acesso centralizado\n- Benefícios:\n  - Redução de tempo na geração de relatórios.\n  - Melhoria na precisão e confiabilidade dos dados.\n- Tecnologias utilizadas: Python, ETL, SQL, integração de APIs."
Experiência Profissional,"PHR Social – Sistema de Cadastro e Geração de Documentos\n- Desenvolvimento de um site para advogados cadastrarem clientes, com validação de CPF, CEP e telefone.\n- Funcionalidades:\n  - Cadastro de clientes com validação de dados (CPF, CEP, telefone).\n  - Geração automática de documentos: contratos, procurações e declarações pertinentes ao processo.\n  - Interface intuitiva para facilitar o uso por advogados.\n- Benefícios:\n  - Agilidade no cadastro de clientes e geração de documentos.\n  - Redução de erros com a validação automática de dados.\n  - Padronização dos documentos gerados.\n- Tecnologias utilizadas: Python, Streamlit, HTML, CSS, JavaScript, APIs de validação (CPF, CEP, telefone), geração de PDFs."
Experiência Profissional,"Gerente de Vendas – Comercial Martins Ribeiro Ltda\n- Responsável por liderar a equipe de vendas, gerenciar estoque e implementar estratégias comerciais."
Experiência Profissional,"Auxiliar de Engenharia na Seno - Serviço de Engenharia do Nordeste"
Habilidades Técnicas,"Linguagens de Programação: Python, VBA Excel, HTML, JavaScript\nFrameworks: Flask, Streamlit, FastAPI, CrewAI, LangChain, phidata\nFerramentas: Power BI, Ferramentas ETL, MLOps, Docker, Git\nBanco de Dados: SQL (MySQL, PostgreSQL), NoSQL (MongoDB)\nMachine Learning: Redes Neurais Artificiais, Aprendizado Profundo, Regressão Linear, Naïve Bayes\nLLMs: DeepSeek, Anthropic, Lhama, Gemini, Perplexity, Grock, ChatGPT\nMetodologias: Scrum, Metodologias Ágeis\nOutras Competências: Visualização de Dados, Arquitetura de Rede, Processamento de Linguagem Natural (PLN), Desenvolvimento Web, Web Scraping, APIs RESTful"
Competências Complementares,"Planejamento de Projetos e Estratégico\nGestão de Equipes e Trabalho Multifuncional\nInteligência de Negócios (BI)\nDesenvolvimento Sustentável\nEmpreendedorismo"
Residência,"Recife, Pernambuco, Brasil"
Contato,"betomilet@gmail.com"
Idade,"52 anos"
